Acai Berry,|H0:item:34349:1:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Apples,|H0:item:34311:1:35:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Bananas,|H0:item:33755:1:36:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Barley,|H0:item:34329:1:7:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Beets,|H0:item:34309:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Bervez Juice,|H0:item:27059:1:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Bittergreen ,|H0:item:34334:1:18:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Carrots,|H0:item:28600:1:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Cheese,|H0:item:27057:1:36:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Coffee,|H0:item:33772:1:46:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Comberry,|H0:item:33768:25:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Corn,|H0:item:34323:1:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Fish ,|H0:item:33753:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Flour,|H0:item:27100:1:31:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Frost Mirriam ,|H0:item:26802:1:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Game,|H0:item:28609:1:25:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Garlic,|H0:item:26954:1:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Ginger,|H0:item:27052:1:40:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Ginseng,|H0:item:34347:1:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Ginkgo,|H0:item:34346:1:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Greens,|H0:item:28604:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Guarana,|H0:item:34333:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Honey,|H0:item:27043:1:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Isinglass,|H0:item:27035:1:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Jasmine,|H0:item:33771:1:45:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Jazbay Grapes,|H0:item:28610:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Lemon,|H0:item:27049:1:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Lotus,|H0:item:34330:1:21:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Melon ,|H0:item:34308:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Metheglin,|H0:item:27048:1:40:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
Millet,|H0:item:27064:1:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
